frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
1140,47.47833333333334,729.0,564.0,725.196533203125,572.4372625350952,746.4862823486328,575.2334117889404,0.998288631439209,703.9067840576172,569.64111328125,0.9985754489898682,735.5083084106445,483.02618980407715,174,312,True
1150,47.895,731.5,563.5,725.7239532470703,566.3474678993225,746.6523742675781,569.3933629989624,0.9984483122825623,704.7955322265625,563.3015727996826,0.9987013339996338,737.6546096801758,479.27412271499634,173,313,True
1160,48.31166666666667,741.5,559.5,733.6203002929688,558.7802052497864,753.5039520263672,560.7073402404785,0.9985790848731995,713.7366485595703,556.8530702590942,0.998797595500946,741.396598815918,470.21557331085205,165,309,True
1170,48.72833333333334,747.0,550.5,738.7777709960938,551.982843875885,758.6228942871094,553.3864116668701,0.9987082481384277,718.9326477050781,550.5792760848999,0.9988995790481567,746.3981628417969,466.50288105010986,178,299,True
1180,49.145,746.0,548.5,740.8785629272461,553.1323313713074,760.9668731689453,554.8137760162354,0.9988335967063904,720.7902526855469,551.4508867263794,0.9990034699440002,748.5476303100586,466.602144241333,174,303,True
1190,49.56166666666667,745.0,547.0,740.8694839477539,548.8754081726074,760.4942321777344,551.5225982666016,0.9989444613456726,721.2447357177734,546.2282180786133,0.9990958571434021,749.5501708984375,465.90704441070557,168,302,True
1200,49.97833333333334,748.0,540.0,742.0380020141602,543.0796265602112,760.99853515625,545.4752254486084,0.9990357756614685,723.0774688720703,540.684027671814,0.9991664886474609,751.2041473388672,460.50363779067993,162,288,True
1210,50.39666666666667,754.5,529.0,744.3859481811523,532.5290179252625,762.3612976074219,534.2839336395264,0.9991142153739929,726.4105987548828,530.7741022109985,0.9992138147354126,754.0205764770508,454.3290853500366,153,272,True
1220,50.81333333333334,754.0,527.0,750.1492691040039,526.9307327270508,767.5690460205078,528.936595916748,0.9991878271102905,732.7294921875,524.9248695373535,0.9992733597755432,757.4758529663086,451.1144471168518,154,272,True
1230,51.230000000000004,754.0,523.0,751.2701034545898,524.0264582633972,768.5944366455078,525.5678701400757,0.9992594122886658,733.9457702636719,522.4850463867188,0.9993332028388977,758.8112640380859,449.93526220321655,152,270,True
1240,51.64666666666667,754.5,516.5,750.3628540039062,520.5665373802185,767.5785827636719,522.4273681640625,0.9993272423744202,733.1471252441406,518.7057065963745,0.9993903040885925,758.8007354736328,448.8786005973816,149,259,True
